Gurobi 9.1.2 (linux64) logging started Fri Mar  4 21:12:47 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 44740 rows, 44740 columns and 550635 nonzeros
Model fingerprint: 0xb6ac0efd
Model has 461881 quadratic objective terms
Variable types: 44640 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [8e-24, 1e-03]
  QObjective range [7e-07, 2e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Found heuristic solution: objective 24.0920649
Presolve removed 8441 rows and 8441 columns
Presolve time: 2.25s
Presolved: 36299 rows, 36299 columns, 509217 nonzeros
Presolved model has 372223 quadratic objective terms
Variable types: 36199 continuous, 100 integer (100 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    2912    2.4092065e+01   0.000000e+00   6.344054e+03      5s
Warning: Markowitz tolerance tightened to 0.125
Warning: Markowitz tolerance tightened to 0.5
   29753    1.7981927e+01   0.000000e+00   4.614693e+03    426s
   29880    1.7981927e+01   0.000000e+00   1.813644e+03    431s
   30007    1.7981927e+01   0.000000e+00   5.223313e+03    436s
   30134    1.7981927e+01   0.000000e+00   2.208181e+03    441s
   30261    1.7981927e+01   0.000000e+00   4.311356e+03    447s
   30388    1.7981927e+01   0.000000e+00   2.245195e+03    452s
   30515    1.7981927e+01   0.000000e+00   4.936207e+03    458s
   30642    1.7981927e+01   0.000000e+00   3.372129e+03    463s
   30769    1.7981927e+01   0.000000e+00   5.695884e+03    469s
   30896    1.7981927e+01   0.000000e+00   2.361351e+03    474s
   31023    1.7981927e+01   0.000000e+00   6.566702e+03    479s
   31150    1.7981927e+01   0.000000e+00   3.664010e+03    484s
   31277    1.7981927e+01   0.000000e+00   6.414605e+03    490s
   31404    1.7981927e+01   0.000000e+00   2.938341e+03    495s
   31531    1.7981927e+01   0.000000e+00   8.810804e+03    501s
   31658    1.7981927e+01   0.000000e+00   9.520799e+02    506s
   31785    1.7981927e+01   0.000000e+00   7.672618e+03    512s
   31912    1.7981927e+01   0.000000e+00   6.362179e+03    517s
   32039    1.7981927e+01   0.000000e+00   1.344777e+04    523s
